Pressure,Temp,Vg,Density,hf(j),hf(cal),hg(j),hg(cal),hfg(j),hfg(cal),SpecificHeat,DynamicViscosity
bar,C,m3/kg,kg/m3,kj/kg,kcal/kg,kJ/kg,kcal/kg,kJ/kg,kcal/kg,kj/kg.K,kg/m.s
0.02,17.51,67.006,0.015,73.45,17.54,2533.64,605.15,2460.19,587.61,1.8644,0.00001
0.03,24.1,45.667,0.022,101,24.12,2545.64,608.02,2444.65,583.89,1.8694,0.00001
0.04,28.98,34.802,0.029,121.41,29,2554.51,610.13,2433.1,581.14,1.8736,0.00001
0.05,32.9,28.194,0.035,137.77,32.91,2561.59,611.83,2423.82,578.92,1.8774,0.00001
0.06,36.18,23.741,0.042,151.5,36.19,2567.51,613.24,2416.01,577.05,1.8808,0.00001
0.07,39.02,20.531,0.049,163.38,39.02,2572.62,614.46,2409.24,575.44,1.884,0.00001
0.08,41.53,18.105,0.055,173.87,41.53,2577.11,615.53,2403.25,574.01,1.8871,0.00001
0.09,43.79,16.204,0.062,183.28,43.78,2581.14,616.49,2397.85,572.72,1.8899,0.00001
0.1,45.83,14.675,0.068,191.84,45.82,2584.78,617.36,2392.94,571.54,1.8927,0.00001
0.2,60.09,7.65,0.131,251.46,60.06,2609.86,623.35,2358.4,563.3,1.9156,0.000011
0.3,69.13,5.229,0.191,289.31,69.1,2625.43,627.07,2336.13,557.97,1.9343,0.000011
0.4,75.89,3.993,0.25,317.65,75.87,2636.88,629.81,2319.23,553.94,1.9506,0.000011
0.5,81.35,3.24,0.309,340.57,81.34,2645.99,631.98,2305.42,550.64,1.9654,0.000012
0.6,85.95,2.732,0.366,359.93,85.97,2653.57,633.79,2293.64,547.83,1.979,0.000012
0.7,89.96,2.365,0.423,376.77,89.99,2660.07,635.35,2283.3,545.36,1.9919,0.000012
0.8,93.51,2.087,0.479,391.73,93.56,2665.77,636.71,2274.05,543.15,2.004,0.000012
0.9,96.71,1.869,0.535,405.21,96.78,2670.85,637.92,2265.65,541.14,2.0156,0.000012
1,99.63,1.694,0.59,417.51,99.72,2675.43,639.02,2257.92,539.3,2.0267,0.000012
1.1,102.32,1.549,0.645,428.84,102.43,2679.61,640.01,2250.76,537.59,2.0373,0.000012
1.2,104.81,1.428,0.7,439.36,104.94,2683.44,640.93,2244.08,535.99,2.0476,0.000012
1.3,107.13,1.325,0.755,449.19,107.29,2686.98,641.77,2237.79,534.49,2.0576,0.000013
1.4,109.32,1.236,0.809,458.42,109.49,2690.28,642.56,2231.86,533.07,2.0673,0.000013
1.5,111.37,1.159,0.863,467.13,111.57,2693.36,643.3,2226.23,531.73,2.0768,0.000013
1.5,111.37,1.159,0.863,467.13,111.57,2693.36,643.3,2226.23,531.73,2.0768,0.000013
1.6,113.32,1.091,0.916,475.38,113.54,2696.25,643.99,2220.87,530.45,2.086,0.000013
1.7,115.17,1.031,0.97,483.22,115.42,2698.97,644.64,2215.75,529.22,2.095,0.000013
1.8,116.93,0.977,1.023,490.7,117.2,2701.54,645.25,2210.84,528.05,2.1037,0.000013
1.9,118.62,0.929,1.076,497.85,118.91,2703.98,645.83,2206.13,526.92,2.1124,0.000013
2,120.23,0.885,1.129,504.71,120.55,2706.29,646.39,2201.59,525.84,2.1208,0.000013
2.2,123.27,0.81,1.235,517.63,123.63,2710.6,647.42,2192.98,523.78,2.1372,0.000013
2.4,126.09,0.746,1.34,529.64,126.5,2714.55,648.36,2184.91,521.86,2.1531,0.000013
2.6,128.73,0.693,1.444,540.88,129.19,2718.17,649.22,2177.3,520.04,2.1685,0.000013
2.8,131.2,0.646,1.548,551.45,131.71,2721.54,650.03,2170.08,518.32,2.1835,0.000013
3,133.54,0.606,1.651,561.44,134.1,2724.66,650.77,2163.22,516.68,2.1981,0.000013
3.5,138.87,0.524,1.908,584.28,139.55,2731.63,652.44,2147.35,512.89,2.2331,0.000014
4,143.63,0.462,2.163,604.68,144.43,2737.63,653.87,2132.95,509.45,2.2664,0.000014
4.5,147.92,0.414,2.417,623.17,148.84,2742.88,655.13,2119.71,506.29,2.2983,0.000014
5,151.85,0.375,2.669,640.12,152.89,2747.54,656.24,2107.42,503.35,2.3289,0.000014
5.5,155.47,0.342,2.92,655.81,156.64,2751.7,657.23,2095.9,500.6,2.3585,0.000014
6,158.84,0.315,3.17,670.43,160.13,2755.46,658.13,2085.03,498,2.3873,0.000014
6.5,161.99,0.292,3.419,684.14,163.4,2758.87,658.94,2074.73,495.54,2.4152,0.000014
7,164.96,0.273,3.667,697.07,166.49,2761.98,659.69,2064.92,493.2,2.4424,0.000015
7.5,167.76,0.255,3.915,709.3,169.41,2764.84,660.37,2055.53,490.96,2.469,0.000015
8,170.42,0.24,4.162,720.94,172.19,2767.46,661,2046.53,488.8,2.4951,0.000015
8.5,172.94,0.227,4.409,732.03,174.84,2769.89,661.58,2037.86,486.73,2.5206,0.000015
9,175.36,0.215,4.655,742.64,177.38,2772.13,662.11,2029.49,484.74,2.5456,0.000015
9.5,177.67,0.204,4.901,752.82,179.81,2774.22,662.61,2021.4,482.8,2.5702,0.000015
10,179.88,0.194,5.147,762.6,182.14,2776.16,663.07,2013.56,480.93,2.5944,0.000015
11,184.06,0.177,5.638,781.11,186.57,2779.66,663.91,1998.55,477.35,2.6418,0.000015
12,187.96,0.163,6.127,798.42,190.7,2782.73,664.64,1984.31,473.94,2.6878,0.000015
13,191.6,0.151,6.617,814.68,194.58,2785.42,665.29,1970.73,470.7,2.7327,0.000015
14,195.04,0.141,7.106,830.05,198.26,2787.79,665.85,1957.73,467.6,2.7767,0.000016
15,198.28,0.132,7.596,844.64,201.74,2789.88,666.35,1945.24,464.61,2.8197,0.000016
16,201.37,0.124,8.085,858.54,205.06,2791.73,666.79,1933.19,461.74,2.862,0.000016
17,204.3,0.117,8.575,871.82,208.23,2793.37,667.18,1921.55,458.95,2.9036,0.000016
18,207.11,0.11,9.065,884.55,211.27,2794.81,667.53,1910.27,456.26,2.9445,0.000016
19,209.79,0.105,9.556,896.78,214.19,2796.09,667.83,1899.31,453.64,2.9849,0.000016
20,212.37,0.1,10.047,908.56,217.01,2797.21,668.1,1888.65,451.1,3.0248,0.000016
21,214.85,0.095,10.539,919.93,219.72,2798.18,668.33,1878.25,448.61,3.0643,0.000016
22,217.24,0.091,11.032,930.92,222.35,2799.03,668.54,1868.11,446.19,3.1034,0.000016
23,219.55,0.087,11.525,941.57,224.89,2799.77,668.71,1858.2,443.82,3.1421,0.000016
24,221.78,0.083,12.02,951.9,227.36,2800.39,668.86,1848.49,441.5,3.1805,0.000017
25,223.94,0.08,12.515,961.93,229.75,2800.91,668.99,1838.98,439.23,3.2187,0.000017
26,226.03,0.077,13.012,971.69,232.08,2801.35,669.09,1829.66,437.01,3.2567,0.000017
27,228.06,0.074,13.509,981.19,234.35,2801.69,669.17,1820.5,434.82,3.2944,0.000017
28,230.04,0.071,14.008,990.46,236.57,2801.96,669.24,1811.5,432.67,3.332,0.000017
29,231.96,0.069,14.508,999.5,238.73,2802.15,669.28,1802.65,430.56,3.3695,0.000017
30,233.84,0.067,15.009,1008.33,240.84,2802.27,669.31,1793.94,428.48,3.4069,0.000017
